observation_date,DFXARC1M027SBEA
2018-01-01,1041.6
2018-02-01,1041.5
2018-03-01,1042.6
2018-04-01,1037.6
2018-05-01,1045.4
2018-06-01,1036.1
2018-07-01,1041.6
2018-08-01,1041.0
2018-09-01,1045.5
2018-10-01,1050.2
2018-11-01,1061.2
2018-12-01,1048.3
2019-01-01,1068.1
2019-02-01,1055.5
2019-03-01,1069.6
2019-04-01,1072.9
2019-05-01,1077.3
2019-06-01,1085.6
2019-07-01,1097.1
2019-08-01,1097.6
2019-09-01,1090.4
2019-10-01,1091.8
2019-11-01,1094.7
2019-12-01,1098.2
2020-01-01,1095.8
2020-02-01,1101.5
2020-03-01,1316.0
2020-04-01,1180.0
2020-05-01,1220.7
2020-06-01,1213.2
2020-07-01,1221.9
2020-08-01,1204.1
2020-09-01,1207.2
2020-10-01,1202.6
2020-11-01,1211.2
2020-12-01,1212.4
2021-01-01,1251.1
2021-02-01,1236.6
2021-03-01,1270.3
2021-04-01,1282.4
2021-05-01,1276.2
2021-06-01,1287.9
2021-07-01,1279.6
2021-08-01,1311.1
2021-09-01,1312.8
2021-10-01,1325.6
2021-11-01,1331.6
2021-12-01,1337.3
2022-01-01,1355.0
2022-02-01,1353.7
2022-03-01,1363.1
2022-04-01,1373.4
2022-05-01,1385.2
2022-06-01,1398.5
2022-07-01,1399.7
2022-08-01,1411.9
2022-09-01,1421.9
2022-10-01,1429.4
2022-11-01,1430.4
2022-12-01,1427.4
2023-01-01,1438.0
2023-02-01,1445.5
